Referencia,Tipo,Operacion,Provincia,Superficie,Precio-Venta,Fecha-Venta,Vendedor
1,Parking,Alquiler,Lleida,291,2133903,19/06/2004,Carmen
2,Local,Venta,Girona,199,1945424,19/04/2004,Pedro
3,Oficina,Alquiler,Girona,82,712416,08/11/2004,Joaquin
4,Parking,Alquiler,Girona,285,1815450,27/04/2004,Jesus
5,Suelo,Ventax,Tarragona,152,1138024,10/07/2004,Maria
6,Industrial,Alquiler,Girona,131,953156,05/09/2004,Pedro
7,Parking,Alquiler,Tarragona,69,406686,07/06/2004,Pedro
8,Oficina,Venta,Girona,235,2158475,31/10/2004,Jesus
9,Piso,Alquiler,Lleida,108,1024380,28/12/2004,Jesus
10,Parking,Venta,Lleida,299,2042768,06/10/2004,Joaquin
11,Oficina,Alquiler,Girona,124,627068,28/10/2004,Pedro
12,Industrial,Venta,Girona,187,999328,05/04/2004,Carmen
13,Parking,Venta,Barcelona,300,2937300,04/11/2004,Jesus
14,Local,Venta,Tarragona,68,664700,01/10/2004,Carmen
15,Industrial,Alquiler,Girona,176,820336,29/11/2004,Pedro
16,Casa,Alquiler,Girona,179,937960,21/11/2004,Carmen
17,Casa,Alquiler,Tarragona,58,358846,08/10/2004,Luisa
18,Suelo,Venta,Barcelona,283,1679605,06/06/2004,Carmen
19,Piso,Alquiler,Girona,55,472615,09/04/2004,Luisa
20,Oficina,Alquiler,Barcelona,148,1169496,19/08/2004,Maria
21,Industrial,Venta,Barcelona,228,2020992,12/06/2004,Carmen
22,Oficina,Alquiler,Lleida,116,727552,14/04/2004,Pedro
23,Casa,Alquiler,Girona,183,1438929,21/04/2004,Luisa
24,Oficina,Alquiler,Tarragona,79,427390,01/12/2004,Joaquin
25,Oficina,Alquiler,Barcelona,124,1170684,23/05/2004,Jesus
26,Local,Alquiler,Tarragona,70,549780,22/06/2004,Jesus
27,Local,Alquiler,Tarragona,70,659330,23/12/2004,Pedro
28,Casa,Alquiler,Barcelona,187,1660560,16/06/2004,Joaquin
29,Casa,Alquiler,Tarragona,91,753571,07/07/2004,Luisa
30,Local,Alquiler,Tarragona,201,939072,04/08/2004,Carmen
31,Industrial,Alquiler,Barcelona,142,1405374,24/09/2004,Jesus
32,Casa,Alquiler,Girona,92,627348,12/04/2004,Maria
33,Local,Alquiler,Barcelona,181,1504110,03/07/2004,Maria
34,Casa,Venta,Barcelona,281,2483197,01/11/2004,Maria
35,Industrial,Alquiler,Tarragona,257,1799771,31/12/2004,Luisa
36,Industrial,Alquiler,Tarragona,140,1054340,02/12/2004,Luisa
37,Local,Venta,Girona,229,1160572,09/07/2004,Pedro
38,Suelo,Alquiler,Tarragona,300,1492800,08/12/2004,Joaquin
39,Parking,Alquiler,Tarragona,215,1154980,14/01/2005,Joaquin
40,Oficina,Venta,Girona,182,1057784,22/07/2004,Jesus
41,Piso,Venta,Barcelona,230,1421860,23/09/2004,Jesus
42,Oficina,Venta,Tarragona,168,1426992,20/11/2004,Jesus
43,Oficina,Alquiler,Girona,74,579716,22/09/2004,Maria
